Timestamp;scop_exciting_gy;scop_exciting_signal
0;-92;-137
1080;-62;-134
2076;-31;-134
3075;59;-141
4076;105;-150
5079;151;-164
6075;181;-180
7078;242;-201
8080;288;-224
9077;303;-249
10079;303;-273
11076;319;-297
12077;334;-322
13075;303;-346
14076;273;-364
15079;227;-379
16075;212;-392
17078;197;-404
18079;151;-411
19077;136;-416
20078;136;-420
21079;120;-423
22078;90;-421
23090;59;-417
24075;29;-411
25077;-1;-402
26078;-16;-391
27080;-62;-378
28076;-92;-362
29078;-123;-343
30078;-154;-324
31075;-184;-301
32076;-184;-279
33093;-169;-256
34078;-169;-234
35080;-199;-211
36075;-199;-188
37077;-199;-168
38078;-184;-153
39075;-169;-140
40076;-138;-132
41077;-123;-127
42078;-138;-124
43089;-138;-123
44080;-123;-129
45076;-62;-143
46077;-1;-167
47079;44;-196
48075;59;-227
49077;44;-258
50077;44;-287
51079;59;-318
52080;90;-352
53088;120;-388
54079;136;-425
55075;136;-462
56076;166;-499
57078;166;-538
58079;136;-574
59076;90;-607
60076;29;-636
61078;-1;-665
62079;-16;-691
63089;-47;-718
64079;-92;-742
65076;-123;-715
66077;-138;-645
67079;-154;-607
68076;-199;-568
69078;-245;-525
70080;-306;-479
71077;-337;-431
72079;-367;-382
73089;-352;-333
74080;-352;-288
75077;-398;-238
76078;-428;-186
77076;-444;-133
78077;-413;-82
79080;-367;-35
80076;-291;4
81079;-260;35
82075;-230;8
83078;-184;-28
84088;-108;-54
85079;-47;-83
86080;13;-113
87080;74;-148
88077;151;-188
89077;212;-229
90079;258;-273
91080;303;-320
92076;334;-366
93077;349;-415
94093;365;-463
95078;365;-511
96079;334;-556
97075;303;-601
98077;258;-640
99078;212;-678
100080;151;-712
101076;120;-743
102078;90;-771
103078;74;-795
104089;44;-809
105080;-16;-801
106076;-108;-764
107077;-184;-718
108079;-215;-674
109075;-245;-632
110076;-291;-589
111077;-337;-542
112079;-398;-492
113079;-444;-438
114076;-474;-384
115090;-489;-327
116075;-459;-276
117077;-428;-225
118078;-398;-176
119080;-367;-129
120076;-337;-83
121077;-276;-41
122078;-215;-2
123080;-154;33
124075;-108;64
125092;-62;-13
126077;-16;-47
127079;44;-80
128075;105;-116
129076;151;-154
130077;197;-195
131079;227;-236
132079;258;-280
133077;303;-326
134078;349;-373
135090;349;-422
136076;334;-468
137078;319;-513
138075;334;-558
139077;349;-605
140079;334;-649
141076;303;-690
142077;258;-727
143080;242;-761
144076;197;-783
145079;120;-786
146088;59;-768
147079;13;-741
148078;-16;-713
149079;-47;-685
150076;-108;-652
151078;-184;-615
152078;-230;-576
153079;-245;-535
154079;-276;-496
155075;-306;-453
156093;-291;-411
157077;-276;-371
158080;-291;-334
159075;-306;-294
160077;-291;-257
161077;-260;-224
162079;-215;-197
163080;-154;-176
164076;-108;-163
165077;-108;-153
166088;-62;-150
167078;-16;-155
168076;44;-167
169076;74;-184
170078;105;-203
171079;151;-226
172075;197;-252
173076;242;-283
174077;273;-313
175078;288;-346
176089;303;-377
177080;319;-410
178076;319;-441
179078;303;-471
180079;303;-497
181075;273;-522
182076;258;-542
183077;258;-562
184078;258;-578
185080;197;-591
186091;120;-596
187076;74;-597
188079;59;-595
189079;44;-591
190076;13;-583
191076;-31;-570
192078;-62;-555
193079;-108;-535
194075;-138;-514
195076;-169;-490
196092;-184;-466
197078;-169;-442
198075;-169;-420
199078;-184;-396
200079;-199;-372
201077;-199;-347
202078;-169;-326
203075;-154;-307
204076;-138;-290
205079;-123;-273
206091;-77;-261
207077;-47;-252
208080;-47;-245
209076;-62;-236
210079;-47;-228
211080;-1;-225
212077;29;-225
213079;29;-225
214076;59;-226
215078;105;-232
216090;151;-240
217075;181;-251
218076;151;-259
219077;151;-266
220078;181;-276
221080;197;-287
222076;197;-298
223078;197;-308
224078;227;-319
225075;242;-331
226194;227;-342
227077;212;-350
228079;212;-358
229075;242;-368
230076;242;-377
231077;227;-385
232078;181;-390
233080;136;-390
234075;105;-389
235077;59;-384
236078;13;-376
237089;-16;-365
238075;-16;-356
239076;-16;-346
240078;-62;-333
241079;-77;-318
242075;-62;-304
243076;-47;-292
244078;-62;-279
245078;-62;-265
246075;-31;-253
247088;-16;-243
248075;-1;-233
249076;-1;-223
250078;13;-214
251079;44;-206
252075;59;-201
253076;44;-195
254078;44;-190
255078;29;-184
256075;44;-180
257089;59;-178
258076;59;-176
259077;44;-173
260079;74;-172
261079;105;-174
262076;90;-176
263076;44;-175
264079;29;-173
265075;44;-173
266078;59;-175
267079;29;-176
268092;-1;-176
269079;-16;-174
270075;-31;-173
271077;-47;-171
272079;-47;-170
273077;-31;-171
274078;13;-174
275075;44;-180
276077;29;-185
277079;13;-188
278189;44;-192
279079;120;-203
280076;136;-215
281078;136;-226
282079;120;-235
283075;120;-244
284075;120;-253
285076;105;-261
286077;59;-266
287078;44;-272
288089;59;-278
289080;74;-285
290075;59;-292
291077;44;-296
292078;44;-301
293080;13;-304
294075;-31;-304
295077;-77;-301
296077;-77;-298
297079;-62;-296
298075;-62;-293
299089;-47;-290
300080;-31;-289
301076;-31;-288
302077;-62;-287
303078;-92;-285
304079;-77;-284
305076;-77;-287
306076;-77;-293
307078;-77;-304
308079;-92;-318
309093;-123;-335
310078;-108;-354
311080;-92;-379
312075;-123;-404
313077;-154;-426
314077;-169;-445
315079;-154;-465
316080;-138;-485
317076;-138;-506
318077;-138;-525
319079;-138;-544
320093;-123;-564
321078;-123;-584
322080;-169;-599
323075;-199;-613
324077;-215;-625
325077;-230;-638
326079;-230;-652
327080;-245;-664
328077;-230;-677
329078;-230;-691
330075;-245;-702
331091;-276;-712
332076;-306;-720
333079;-291;-729
334080;-291;-739
335077;-306;-749
336078;-321;-758
337076;-321;-769
338078;-352;-778
339075;-413;-785
340077;-459;-787
341092;-474;-790
342078;-474;-794
343075;-459;-799
344077;-459;-803
345079;-459;-807
346076;-474;-811
347079;-459;-816
348080;-489;-819
349076;-520;-820
350075;-520;-821
351077;-474;-826
352091;-474;-831
353077;-474;-835
354078;-459;-840
355079;-428;-848
356075;-367;-858
357077;-337;-871
358078;-352;-882
359079;-352;-892
360075;-352;-902
361077;-367;-912
362090;-382;-920
363080;-382;-929
364077;-382;-937
365077;-367;-946
366079;-352;-956
367080;-352;-966
368077;-337;-976
369077;-321;-986
370079;-291;-997
371080;-276;-1009
372090;-321;-1015
373080;-337;-1024
374076;-321;-1034
375077;-291;-1045
376078;-291;-1057
377079;-291;-1069
378076;-291;-1081
379077;-306;-1091
380079;-321;-1101
381080;-321;-1112
382076;-337;-1120
383090;-352;-1128
384080;-337;-1138
385077;-337;-1148
386077;-367;-1155
387079;-367;-1163
388075;-352;-1172
389077;-352;-1181
390077;-352;-1189
391080;-352;-1199
392075;-352;-1208
393091;-367;-1218
394076;-382;-1226
395078;-398;-1233
396080;-413;-1240
397077;-444;-1245
398079;-459;-1175
399076;-444;-1113
400078;-428;-1064
401075;-428;-1013
402077;-489;-959
403093;-535;-903
404078;-550;-850
405075;-520;-803
406077;-474;-763
407079;-474;-720
408077;-459;-686
409080;-474;-656
410076;-444;-635
411078;-413;-620
412080;-367;-613
413091;-306;-614
414075;-260;-618
415076;-199;-630
416076;-123;-646
417078;-77;-663
418079;-16;-684
419076;59;-711
420077;105;-736
421079;151;-764
422079;181;-792
423076;197;-819
424091;212;-844
425076;212;-868
426077;181;-886
427078;136;-899
428076;136;-910
429077;151;-919
430078;151;-924
431079;120;-923
432076;90;-919
433076;74;-912
434088;59;-902
435079;13;-887
436080;-16;-871
437077;-62;-851
438078;-92;-831
439079;-92;-810
440075;-92;-789
441077;-92;-768
442077;-92;-749
443079;-108;-726
444092;-123;-704
445078;-138;-681
446078;-138;-659
447075;-108;-640
448076;-77;-623
449078;-77;-603
450079;-77;-585
451075;-62;-569
452076;-16;-557
453078;-16;-543
454088;-1;-531
455079;44;-524
456075;105;-521
457077;136;-518
458078;151;-516
459080;151;-514
460076;166;-514
461078;197;-518
462080;197;-519
463077;197;-521
464093;212;-525
465079;258;-533
466076;242;-537
467078;212;-540
468075;181;-540
469078;197;-544
470080;227;-550
471077;227;-554
472078;212;-556
473075;212;-558
474090;227;-562
475076;227;-566
476078;212;-567
477075;197;-568
478078;197;-568
479079;181;-568
480079;151;-565
481080;136;-561
482075;136;-557
483077;151;-555
484095;151;-552
485088;136;-547
486079;120;-540
487075;105;-533
488077;105;-526
489079;90;-517
490079;74;-507
491076;59;-496
492076;44;-486
493078;29;-474
494169;13;-462
495080;-1;-449
496076;-1;-438
497078;29;-429
498079;59;-424
499076;44;-415
500077;59;-410
501079;90;-408
502079;90;-404
503076;59;-398
504293;44;-392
505080;44;-387
506076;44;-382
507078;29;-376
508079;13;-370
509076;13;-365
510077;29;-361
511079;29;-357
512079;13;-351
513076;13;-346
514093;44;-345
515091;59;-344
516076;90;-346
517078;105;-348
518079;105;-349
519076;136;-353
520076;151;-358
521078;151;-361
522079;120;-361
523075;90;-358
524076;90;-356
525091;90;-353
526077;90;-350
527079;90;-345
528077;105;-342
529079;105;-337
530076;120;-333
531078;120;-329
532075;120;-324
533077;120;-318
534079;120;-313
535090;74;-304
536091;29;-292
537077;13;-281
538075;29;-273
539077;29;-264
540079;13;-254
541076;29;-246
542079;74;-242
543080;90;-237
544077;74;-231
545077;74;-226
546093;105;-224
547077;120;-222
548080;120;-220
549075;105;-217
550077;105;-215
551077;105;-216
552079;105;-216
553080;90;-216
554076;74;-216
555088;44;-214
556219;44;-216
557075;74;-222
558077;74;-229
559079;59;-236
560079;74;-251
561076;90;-271
562076;90;-292
563078;74;-316
564079;74;-342
565075;90;-371
566092;74;-400
567077;74;-430
568079;59;-457
569075;29;-483
570077;13;-507
571077;-1;-531
572079;-16;-555
573080;-31;-580
574076;-31;-604
575077;-16;-632
576091;-31;-655
577076;-62;-678
578078;-108;-697
579079;-138;-717
580076;-154;-737
581077;-184;-757
582078;-215;-768
583079;-230;-756
584076;-230;-709
585076;-230;-670
586078;-245;-639
587089;-276;-609
588075;-291;-585
589077;-321;-569
590078;-321;-569
591080;-352;-581
592076;-382;-590
593079;-398;-598
594075;-382;-607
595078;-367;-618
596079;-321;-633
597089;-306;-647
598075;-276;-663
599077;-245;-681
600079;-215;-700
601076;-199;-720
602078;-199;-739
603075;-184;-760
604076;-184;-779
605079;-184;-799
606075;-184;-818
607088;-184;-838
608080;-199;-856
609077;-215;-873
610077;-230;-889
611078;-230;-907
612078;-245;-922
613075;-276;-936
614076;-306;-948
615077;-306;-961
616078;-306;-974
617088;-291;-989
618079;-291;-1003
619075;-306;-1015
620076;-306;-1029
621078;-306;-1042
622078;-306;-1055
623075;-291;-1071
624075;-276;-1086
625077;-260;-1103
626078;-291;-1114
627093;-337;-1121
628078;-382;-1122
629075;-413;-1119
630075;-444;-1110
631077;-428;-1099
632078;-428;-1083
633080;-444;-1063
634076;-459;-1040
635077;-474;-1011
636078;-489;-979
637075;-474;-946
638093;-459;-911
639077;-428;-875
640079;-413;-839
641080;-382;-800
642076;-337;-765
643077;-306;-730
644079;-291;-697
645079;-306;-663
646076;-291;-640
647076;-276;-661
648092;-245;-692
649077;-199;-705
650079;-169;-720
651080;-154;-733
652076;-154;-743
653077;-123;-756
654079;-77;-769
655079;-31;-785
656076;13;-802
657077;59;-822
658091;90;-841
659076;120;-863
660079;151;-885
661075;166;-907
662078;166;-927
663079;166;-947
664077;166;-964
665078;166;-980
666075;166;-994
667077;166;-1007
668092;166;-1018
669077;151;-1026
670075;136;-1031
671076;90;-1030
672079;59;-1025
673075;29;-1016
674077;-1;-1004
675079;-16;-990
676075;-47;-973
677075;-92;-950
678077;-138;-924
679090;-154;-897
680080;-154;-871
681077;-154;-844
682077;-169;-816
683079;-199;-784
684080;-215;-753
685076;-230;-719
686077;-245;-685
687078;-245;-651
688080;-245;-619
689088;-230;-587
690078;-199;-560
691075;-169;-533
692076;-154;-508
693078;-154;-483
694078;-138;-462
695080;-108;-444
696076;-77;-431
697077;-1;-425
698078;59;-424
699092;105;-426
700079;105;-427
701080;136;-434
702076;197;-446
703077;227;-459
704079;242;-473
705079;258;-488
706075;288;-505
707076;303;-522
708079;303;-538
709079;288;-552
710093;319;-569
711078;349;-588
712079;380;-608
713075;380;-626
714077;365;-641
715077;334;-653
716080;273;-660
717075;242;-667
718077;227;-672
719078;197;-675
720092;181;-677
721076;181;-679
722078;136;-677
723080;105;-672
724077;74;-667
725079;59;-660
726076;44;-652
727077;29;-643
728075;13;-632
729077;-31;-616
730092;-62;-600
731079;-62;-584
732075;-62;-570
733078;-62;-553
734079;-47;-540
735077;-62;-523
736078;-62;-507
737075;-62;-491
738078;-47;-477
739075;-31;-462
740077;-31;-448
741090;-47;-432
742079;-62;-416
743075;-47;-403
744075;-31;-391
745077;-31;-378
746078;-16;-368
747080;-1;-359
748076;-1;-350
749078;-1;-342
750079;-16;-333
751089;-16;-325
752079;13;-320
753075;44;-317
754076;44;-316
755078;44;-315
756079;59;-315
757075;74;-316
758076;74;-318
759078;74;-321
760076;90;-324
761089;90;-328
762075;90;-331
763076;74;-333
764078;74;-335
765078;90;-339
766075;74;-341
767076;44;-341
768078;44;-341
769079;44;-340
770076;59;-341
771088;59;-341
772079;44;-340
773075;59;-340
774077;59;-340
775077;44;-338
776079;44;-336
777080;44;-335
778077;44;-334
779077;44;-333
780079;-1;-329
781080;-16;-324
782093;-16;-319
783078;-31;-313
784080;-31;-308
785076;-47;-303
786078;-47;-297
787078;-47;-292
788076;-62;-287
789077;-62;-283
790075;-47;-282
791076;-16;-283
792088;-1;-287
793080;-1;-292
794076;-1;-297
795079;13;-303
796075;44;-312
797077;44;-324
798079;59;-337
799077;44;-351
800078;29;-363
801075;29;-376
802091;29;-389
803080;44;-406
804076;74;-423
805078;90;-442
806080;90;-460
807075;105;-478
808076;90;-495
809077;74;-510
810077;74;-524
811079;74;-537
812150;44;-546
813077;29;-553
814078;29;-557
815079;-1;-559
816075;-1;-558
817077;-31;-557
818078;-77;-551
819080;-123;-540
820075;-154;-528
821077;-184;-514
822077;-215;-499
823089;-215;-484
824079;-215;-472
825076;-230;-458
826076;-230;-446
827078;-230;-433
828080;-215;-424
829076;-215;-415
830077;-215;-409
831079;-230;-406
832079;-245;-405
833139;-230;-408
834076;-199;-415
835077;-199;-424
836078;-184;-436
837079;-184;-451
838076;-169;-467
839076;-154;-486
840078;-123;-507
841079;-92;-531
842076;-62;-555
843093;-47;-582
844092;-62;-607
845077;-92;-631
846079;-108;-653
847079;-123;-676
848076;-123;-698
849077;-108;-722
850079;-92;-746
851079;-108;-771
852076;-138;-792
853090;-169;-812
854092;-169;-831
855078;-154;-853
856075;-154;-874
857076;-184;-894
858080;-199;-910
859076;-215;-927
860079;-230;-942
861075;-245;-955
862078;-245;-965
863080;-260;-971
864261;-260;-966
865075;-276;-943
866077;-291;-909
867079;-306;-867
868076;-306;-826
869079;-291;-785
870080;-276;-748
871077;-260;-710
872078;-230;-678
873079;-215;-648
874162;-199;-624
875077;-215;-599
876078;-230;-577
877080;-199;-560
878077;-169;-552
879079;-138;-553
880079;-92;-561
881076;-47;-574
882076;-16;-591
883078;29;-614
884079;59;-639
885089;74;-666
886079;120;-693
887076;136;-722
888077;151;-751
889079;166;-781
890080;181;-808
891076;197;-833
892077;212;-851
893079;227;-862
894079;242;-865
895093;227;-861
896078;197;-849
897080;151;-831
898075;120;-811
899077;90;-789
900078;44;-764
901080;-16;-735
902076;-62;-705
903077;-92;-672
904078;-92;-641
905088;-138;-607
906078;-184;-571
907075;-199;-533
908077;-169;-499
909078;-184;-464
910079;-199;-429
911076;-169;-395
912077;-123;-367
913078;-77;-342
914079;-31;-322
915088;29;-305
916078;105;-294
917080;136;-286
918076;151;-280
919079;166;-276
920075;212;-278
921077;258;-285
922079;303;-296
923076;349;-312
924078;395;-330
925089;410;-350
926080;410;-369
927077;410;-390
928079;441;-410
929076;471;-433
930077;502;-455
931075;502;-478
932076;456;-496
933079;410;-510
934075;380;-520
935092;365;-530
936077;349;-537
937080;334;-543
938076;273;-545
939077;197;-540
940077;151;-532
941078;136;-523
942079;136;-513
943076;120;-503
944076;105;-491
945090;90;-479
946075;74;-466
947077;44;-451
948078;-1;-435
949080;-16;-416
950076;-16;-400
951077;-16;-383
952078;-31;-368
953080;-16;-352
954076;-1;-339
955090;-1;-326
956076;-1;-314
957077;29;-303
958079;29;-296
959080;29;-288
960076;59;-285
961077;74;-283
962079;90;-283
963079;105;-285
964079;120;-288
965079;151;-294
966090;166;-301
967075;151;-308
968077;136;-313
969078;151;-320
970080;151;-327
971075;151;-334
972077;151;-340
973077;136;-346
974079;136;-350
975075;120;-353
976088;136;-356
977078;151;-361
978075;136;-363
979076;105;-363
980078;59;-359
981078;29;-353
982075;13;-348
983075;13;-343
984077;44;-339
985079;29;-335
986076;-1;-328
987093;-31;-319
988080;-31;-310
989077;-31;-303
990078;-31;-295
991075;-31;-287
992077;-31;-279
993079;-47;-271
994076;-92;-260
995078;-92;-250
996079;-77;-243
997093;-62;-236
998078;-77;-231
999076;-92;-224
1000077;-77;-219
1001080;-77;-214
1002076;-62;-212
1003078;-47;-210
1004078;-16;-210
1005079;-16;-211
1006079;-1;-212
1007091;44;-215
1008077;59;-220
1009079;74;-226
1010079;105;-234
1011076;120;-243
1012076;120;-252
1013078;74;-259
1014079;29;-262
1015075;29;-267
1016076;29;-273
1017091;44;-280
1018077;44;-288
1019078;44;-296
1020079;13;-302
1021076;13;-308
1022077;44;-316
1023078;59;-328
1024079;59;-338
1025076;74;-350
1026076;74;-361
1027091;74;-372
1028077;44;-380
1029078;29;-388
1030079;13;-393
1031075;13;-399
1032076;-1;-404
1033078;-16;-408
1034078;-47;-410
1035080;-47;-411
1036076;-47;-412
1037090;-47;-414
1038075;-77;-414
1039077;-108;-411
1040077;-123;-408
1041080;-138;-405
1042075;-169;-401
1043077;-184;-397
1044078;-184;-392
1045079;-199;-388
1046075;-199;-383
1047090;-199;-380
1048075;-169;-380
1049077;-169;-380
1050078;-184;-378
1051076;-215;-376
1052077;-230;-372
1053080;-215;-369
1054076;-184;-370
1055078;-154;-373
1056075;-138;-377
1057077;-108;-382
1058089;-92;-388
1059080;-77;-394
1060077;-77;-400
1061078;-77;-407
1062075;-47;-413
1063077;-47;-421
1064080;-47;-427
1065076;-47;-434
1066079;-31;-441
1067080;-16;-450
1068089;-16;-458
1069078;-31;-465
1070079;-47;-471
1071079;-31;-478
1072075;13;-487
1073076;29;-499
1074078;59;-510
1075078;120;-526
1076075;151;-544
1077076;151;-561
1078092;120;-576
1079077;105;-588
1080078;136;-600
1081079;151;-612
1082076;120;-620
1083076;59;-623
1084078;29;-622
1085079;13;-619
1086075;-1;-616
1087076;-16;-610
1088093;-1;-603
1089079;-1;-597
1090080;13;-591
1091076;13;-585
1092077;29;-580
1093079;29;-574
1094079;13;-568
1095076;13;-561
1096076;-16;-551
1097078;-77;-536
1098079;-92;-519
1099114;-62;-502
1100079;-47;-488
1101079;-31;-474
1102076;-16;-461
1103076;13;-451
1104078;29;-443
1105079;59;-436
1106075;59;-429
1107076;74;-421
1108079;105;-414
1109091;105;-409
1110077;105;-404
1111078;105;-398
1112079;120;-394
1113075;151;-392
1114077;181;-392
1115078;227;-393
1116075;242;-393
1117076;258;-393
1118080;242;-390
1119090;242;-385
1120077;273;-382
1121079;319;-379
1122076;319;-377
1123078;303;-371
1124080;288;-364
1125076;273;-354
1126079;258;-344
1127075;242;-331
1128079;242;-318
1129088;288;-308
1130080;319;-299
1131076;288;-283
1132079;242;-265
1133075;197;-244
1134077;197;-226
1135077;197;-206
1136078;197;-188
1137078;181;-167
1138075;136;-144
1139111;120;-121
1140075;136;-101
1141076;151;-82
1142078;166;-65
1143079;181;-48
1144076;197;-34
1145077;212;-20
1146078;197;-6
1147079;212;4
1148077;242;12
1149110;273;17
1150079;319;19
1151075;334;20
1152077;349;18
1153077;349;17
1154079;334;15
1155080;319;14
1156076;303;13
1157077;334;6
1158079;365;0
1159092;380;-8
1160078;395;-16
1161079;441;-29
1162075;487;-44
1163076;471;-56
1164078;441;-64
1165079;426;-73
1166075;395;-78
1167222;349;-79
1168079;288;-75
1169092;273;-72
1170078;288;-71
1171079;288;-70
1172075;273;-66
1173076;242;-58
1174077;212;-49
1175078;212;-40
1176080;197;-30
1177076;197;-19
1178078;181;-6
1179111;181;5
1180076;166;18
1181077;120;35
1182080;90;52
1183076;90;66
1184079;105;76
1185080;105;87
1186077;90;96
1187079;120;101
1188077;151;101
1189078;197;96
1190106;227;88
1191077;242;77
1192078;258;63
1193075;273;45
1194077;303;24
1195079;319;1
1196076;334;-22
1197079;319;-45
1198075;334;-68
1199078;319;-90
1200094;288;-107
1201092;258;-123
1202076;258;-139
1203077;242;-154
1204078;212;-164
1205080;181;-171
1206075;166;-176
1207077;166;-183
1208079;151;-186
1209075;151;-191
1210075;136;-194
1211091;105;-196
1212076;59;-194
1213078;13;-190
1214079;-47;-182
1215075;-77;-176
1216076;-92;-172
1217078;-108;-167
1218080;-138;-161
1219076;-199;-150
1220077;-230;-142
1221090;-230;-136
1222075;-215;-134
1223077;-199;-134
1224077;-199;-135
1225079;-199;-138
1226080;-169;-145
1227076;-138;-155
1228078;-108;-167
1229080;-77;-180
1230076;-47;-194
1231093;-31;-209
1232078;-31;-222
1233080;-47;-234
1234075;-47;-246
1235077;-31;-260
1236077;-31;-273
1237079;-47;-284
1238075;-77;-292
1239077;-77;-301
1240078;-92;-308
1241079;-108;-314
1242088;-138;-317
1243078;-92;-326
1244080;-47;-336
1245076;-47;-344
1246077;-77;-347
1247079;-92;-350
1248077;-77;-356
1249078;-47;-363
1250075;-62;-368
1251077;-92;-370
1252091;-123;-372
1253077;-154;-372
1254079;-154;-373
1255075;-169;-373
1256078;-199;-370
1257080;-230;-365
1258077;-245;-361
1259079;-245;-357
1260076;-230;-355
1261078;-199;-355
1262090;-154;-358
1263076;-138;-361
1264079;-154;-361
1265080;-184;-359
1266075;-184;-359
1267075;-169;-361
1268077;-184;-361
1269078;-199;-360
1270080;-199;-360
1271075;-169;-363
1272089;-108;-371
1273080;-62;-381
1274076;-16;-394
1275077;44;-411
1276078;59;-425
1277079;44;-438
1278076;29;-449
1279076;13;-460
1280078;29;-473
1281079;44;-488
1282088;44;-501
1283078;-1;-509
1284075;-47;-514
1285075;-47;-521
1286077;-77;-523
1287078;-92;-524
1288075;-92;-526
1289076;-108;-525
1290078;-108;-524
1291078;-123;-520
1292093;-123;-516
1293078;-92;-514
1294079;-77;-513
1295075;-77;-511
1296077;-108;-506
1297077;-138;-498
1298075;-138;-492
1299076;-138;-486
1300077;-138;-481
1301078;-138;-475
1302092;-108;-473
1303077;-62;-474
1304079;-31;-476
1305079;-31;-477
1306076;-31;-478
1307076;-31;-480
1308079;-1;-485
1309079;29;-492
1310076;-1;-493
1311076;-31;-493
1312092;-31;-493
1313078;-16;-494
1314075;-1;-495
1315076;29;-498
1316079;29;-498
1317075;29;-498
1318078;44;-500
1319080;74;-503
1320077;120;-509
1321078;151;-514
1322089;151;-518
1323079;136;-519
1324076;105;-518
1325078;105;-518
1326075;151;-523
1327077;181;-528
1328075;181;-530
1329076;166;-530
1330079;166;-530
1331079;181;-531
1332091;166;-529
1333075;166;-526
1334077;151;-520
1335077;151;-515
1336079;120;-506
1337080;59;-490
1338077;13;-472
1339078;-1;-454
1340080;-1;-436
1341075;-1;-417
1342089;13;-400
1343079;-1;-380
1344075;-16;-359
1345076;-16;-338
1346078;-16;-318
1347079;13;-300
1348076;44;-285
1349077;44;-268
1350078;29;-250
1351079;29;-232
1352088;59;-219
1353078;120;-211
1354075;197;-208
1355076;212;-203
1356078;227;-199
1357078;258;-199
1358075;288;-201
1359076;288;-202
1360078;273;-202
1361079;288;-205
1362089;303;-209
